# x_m, y_m, w_tr_right_m, w_tr_left_m
0.427460, 3.865251, 0.570088, 0.570088
0.353951, 3.843822, 0.604152, 0.604152
0.283143, 3.815871, 0.570088, 0.570088
0.209634, 3.794443, 0.602080, 0.602080
0.138769, 3.766629, 0.559017, 0.559017
0.065260, 3.745200, 0.585235, 0.585235
-0.007945, 3.723036, 0.559017, 0.559017
-0.081455, 3.701608, 0.604152, 0.604152
-0.152816, 3.674994, 0.570088, 0.570088
-0.226261, 3.653408, 0.585235, 0.585235
-0.299770, 3.631979, 0.602080, 0.602080
-0.372966, 3.609794, 0.600000, 0.600000
-0.446476, 3.588365, 0.604152, 0.604152
-0.517331, 3.560529, 0.570088, 0.570088
-0.590840, 3.539100, 0.600000, 0.600000
-0.666498, 3.522857, 0.552268, 0.552268
-0.740946, 3.503694, 0.570088, 0.570088
-0.814455, 3.482265, 0.585235, 0.585235
-0.890923, 3.467979, 0.583095, 0.583095
-0.966356, 3.451195, 0.604152, 0.604152
-1.042825, 3.436909, 0.618466, 0.618466
-1.118506, 3.420725, 0.626498, 0.626498
-1.192016, 3.399297, 0.632456, 0.632456
-1.267008, 3.381447, 0.618466, 0.618466
-1.340517, 3.360019, 0.632456, 0.632456
-1.411646, 3.332841, 0.650000, 0.650000
-1.483231, 3.306768, 0.650000, 0.650000
-1.554608, 3.280190, 0.657647, 0.657647
-1.625945, 3.253517, 0.632456, 0.632456
-1.699455, 3.232089, 0.667083, 0.667083
-1.772355, 3.209189, 0.632456, 0.632456
-1.845864, 3.187760, 0.650000, 0.650000
-1.918796, 3.164938, 0.618466, 0.618466
-1.992306, 3.143509, 0.650000, 0.650000
-2.067298, 3.125660, 0.618466, 0.618466
-2.140807, 3.104232, 0.650000, 0.650000
-2.211823, 3.076782, 0.626498, 0.626498
-2.282631, 3.048832, 0.670820, 0.670820
-2.353182, 3.020260, 0.651920, 0.651920
-2.423957, 2.992232, 0.680074, 0.680074
-2.491286, 2.955881, 0.694622, 0.694622
-2.555818, 2.912778, 0.680074, 0.680074
-2.619210, 2.866926, 0.670820, 0.670820
-2.681650, 2.818772, 0.680074, 0.680074
-2.736644, 2.763350, 0.672681, 0.672681
-2.781936, 2.701152, 0.670820, 0.670820
-2.818193, 2.633784, 0.640312, 0.640312
-2.846128, 2.562970, 0.626498, 0.626498
-2.865741, 2.488708, 0.604152, 0.604152
-2.877032, 2.410999, 0.570088, 0.570088
-2.880000, 2.329843, 0.552268, 0.552268
-2.877000, 2.248701, 0.550000, 0.550000
-2.869857, 2.169274, 0.550000, 0.550000
-2.862714, 2.089847, 0.550000, 0.550000
-2.855571, 2.010420, 0.552268, 0.552268
-2.848429, 1.930993, 0.550000, 0.550000
-2.839173, 1.852442, 0.522015, 0.522015
-2.821595, 1.777337, 0.552268, 0.552268
-2.798695, 1.704437, 0.538516, 0.538516
-2.769524, 1.638319, 0.570088, 0.570088
-2.731293, 1.577427, 0.538516, 0.538516
-2.681293, 1.528305, 0.570088, 0.570088
-2.638436, 1.482142, 0.618466, 0.618466
-2.597692, 1.435103, 0.657647, 0.657647
